length,sorted,reversed,random
1,39089,17464,10508
1,10989,43616,12521
1,21226,11090,11249
1,17762,42637,47118
2,91883,72483,72811
2,64606,66982,63250
2,38771,25119,18389
3,25192,23729,25268
4,50780,32566,40931
5,43834,43787,48088
6,53833,58186,61118
7,65043,67295,75490
8,77365,73670,87901
10,110672,105548,142703
12,126246,127646,155439
15,170103,182499,235295
18,190242,209611,246089
22,245503,250808,309946
26,275466,289732,357872
31,356990,375484,459560
38,437312,461827,577687
46,632272,641365,946539
55,732489,855896,1008001
66,1178754,1081218,1645703
79,1146962,1262296,1564810
95,1472948,1563503,1978790
114,1750812,1793324,2355392
137,2190589,2232410,2965019
164,2707852,2776314,3693384
197,3348555,3423769,4591161
237,4336819,4538033,5908000
284,4899201,5006358,6940219
341,12910811,14351677,16306511
410,35511411,36567627,41522921
492,39253672,40995103,45071672
590,51343940,52898218,59976888
708,63398251,62942589,74540175
850,76200903,77216360,87508252
1020,46485378,48008024,56558244
1224,9837496,9735346,17136905
1469,16277238,12615931,22849732
1763,19500323,15695397,28615467
2116,18168637,17916002,32486418
2539,22378220,25673002,40832408
3047,30823767,30874586,50427610
3657,34658598,34464347,67269565
4388,41048636,41427811,79838568
5266,53307856,55581917,99082972
6319,62067326,63664284,116544841
