length,sorted,reversed,random
1,20228,12232,10066
1,9943,9635,10890
1,10983,10061,10426
1,12260,11382,12180
2,23714,19075,10951
2,9685,7699,9471
2,9795,7904,8611
3,10582,13005,11779
4,12552,16461,14984
5,13096,23188,20428
6,14486,30668,28230
7,15860,42331,35653
8,17072,55307,49278
10,19599,84258,62888
12,24296,120697,85856
15,27685,187759,134801
18,30817,262409,174024
22,42737,451945,320334
26,41333,539600,352697
31,46013,768398,488313
38,56198,1152826,712877
46,69438,1807837,1156761
55,166971,5271335,2953777
66,325615,13562322,7118673
79,207292,9978067,5389886
95,66766,4296449,2466813
114,56435,4534588,2520496
137,82389,6107247,3539603
164,81494,9566874,5342492
197,100048,13681247,7806540
237,99387,17104953,9606454
284,118251,24622310,14107038
341,147085,36005164,19320250
410,215370,59615870,32826198
492,264945,92617210,50689635
590,317409,135226055,73659841
708,480023,251934926,139421320
850,545432,346560855,186583279
1020,533804,422671393,238361642
1224,535608,487375102,265133810
1469,674360,802718022,443945532
1763,733679,978960111,537200196
2116,769939,1286943519,707786436
2539,990095,1895878981,1036268193
3047,1113345,2693848539,1480871331
3657,1323590,3831292285,2098012475
4388,1584527,5524769360,3030512132
5266,1897606,7983125494,4361960773
6319,2321352,11461445811,6297350400
