length,sorted,reversed,random
1,7465,6671,7197
1,7192,6628,7106
1,7183,6608,7105
1,7253,6569,7187
2,10527,8740,9525
2,10408,8756,9276
2,10493,8739,9476
3,13099,12096,12647
4,16912,15891,16955
5,20833,20141,22061
6,24558,24312,27241
7,28930,28617,34367
8,32207,31074,38845
10,41056,41006,53902
12,49447,50384,67885
15,63789,65425,89613
18,82182,82021,114955
22,97786,99058,144026
26,117300,119659,222976
31,141902,146615,215905
38,188030,186021,289215
46,226425,239325,351251
55,294265,275499,449172
66,345738,367470,559425
79,461649,502834,773777
95,604560,506387,888859
114,664433,649879,1087756
137,779616,795233,1308008
164,976252,964803,1657462
197,1818525,1253590,2144608
237,1549331,1521415,2502602
284,1898482,1861513,3032422
341,2256817,2228073,3736491
410,2897462,2753876,4759634
492,3560849,3441239,5955643
590,4283697,4222416,7253268
708,6196526,5274550,9357262
850,6681745,6631830,11332521
1020,7996565,7659516,13503116
1224,9770226,10303890,16805444
1469,12314105,12055096,21369694
1763,16581993,15875656,28463549
2116,20037130,18934089,35500246
2539,23776330,23652741,43195085
3047,28656879,29296218,53421039
3657,34997595,35966417,63769737
4388,45789996,46816828,86176670
5266,55719638,56873095,101196717
6319,64722475,68632542,118167180
