length,sorted,reversed,random
1,54089,96516,36741
1,9738,9914,16129
1,27101,17920,87656
1,19906,14604,14903
2,110242,61469,58421
2,75445,57574,61220
2,107165,59099,110454
3,60012,35939,27504
4,51802,26688,32690
5,43538,49083,43922
6,44456,74700,50412
7,89572,90295,66380
8,76975,88791,79855
10,118134,167953,129690
12,132092,132481,155584
15,207226,334229,232550
18,435884,368762,378337
22,295114,278794,382560
26,338811,348243,468067
31,339143,342773,439366
38,608646,604107,810322
46,703287,780692,968519
55,812881,958851,1026572
66,1025478,1019982,1309529
79,1023857,1085933,1416203
95,1236495,1250062,1686504
114,1629394,1654685,2183591
137,2032986,2110174,2695822
164,2737922,2891619,3819713
197,2984740,3013410,4004592
237,3546040,3608996,4897382
284,4478676,4628061,6431093
341,5316947,5479433,7311044
410,25030231,26567516,29272348
492,41761672,43765573,48771315
590,50608617,52196594,59469893
708,65738052,67630140,76769503
850,73398757,76789010,85734451
1020,76146681,76904507,86304934
1224,8449704,9020129,15340996
1469,14064897,11441645,19188281
1763,16447556,14278376,24111653
2116,14759810,16303536,28570361
2539,21015829,25957881,40654133
3047,26235100,29268874,45521576
3657,28676837,31354254,59502306
4388,36391362,40856298,74743510
5266,43705857,50119919,84631946
6319,53119605,59959637,105299292
