length,sorted,reversed,random
1,116026,27779,10293
1,11647,20116,10910
1,10099,10333,10815
1,10968,10024,9905
2,15617,13570,13855
2,38122,15651,8615
2,41090,7712,8368
3,9219,13612,11665
4,10601,44413,55055
5,11577,21972,19419
6,12746,29016,26879
7,20495,58573,49192
8,27274,96096,83170
10,26338,112903,90313
12,41573,157869,92049
15,29929,181136,138687
18,31419,278296,153277
22,30493,376592,258576
26,34044,483673,293489
31,39489,720657,426746
38,61822,1114943,614858
46,55530,1539631,868410
55,227376,6291062,3519650
66,277354,12758675,6830879
79,259495,13075126,7368935
95,32116,2804648,1381266
114,37281,4215274,2102773
137,43889,6305697,3007842
164,58154,8154592,3975756
197,78499,11776631,5710675
237,64993,16510996,7826953
284,83081,24370261,11600069
341,90309,33239712,15713312
410,110943,49053080,23126970
492,127581,70082269,32866865
590,172661,104918758,50495254
708,205619,155541268,72764135
850,251391,221681627,103550523
1020,275572,318555726,148405376
1224,324439,452213628,209977833
1469,474533,662631284,307556054
1763,501889,926471260,437961356
2116,611697,1364021391,644199021
2539,695658,1900625011,897837911
3047,867256,2805279787,1310684117
3657,974153,3970074190,1873918639
4388,1222794,5664828940,2670409714
5266,1445684,8165603069,3843962655
6319,1721770,11857463934,5626794688
