length,sorted,reversed,random
1,7145,6463,6958
1,6923,6300,6853
1,6935,6268,6903
1,6889,6315,6849
2,9073,8068,8637
2,8759,8002,8694
2,8829,7958,8622
3,11327,11612,12014
4,15051,15114,16621
5,18359,19050,21407
6,21465,22522,26061
7,24980,26491,32600
8,28131,28546,36857
10,36157,37936,49732
12,43360,46997,65263
15,56265,63579,81979
18,72230,75520,103954
22,84348,91401,128176
26,100126,108272,159944
31,163429,218963,265174
38,176183,169407,268635
46,193863,210545,317094
55,238827,261907,392920
66,313013,341846,571296
79,375698,397512,602281
95,633738,639227,998088
114,547476,583828,920550
137,672801,732447,1265743
164,887877,949820,1489896
197,1651247,1166711,1884807
237,1343828,1412104,2304740
284,1583508,1750724,2872219
341,2094673,2189064,3547592
410,2554216,2924183,4600850
492,2999268,3205907,5402437
590,3650496,4007061,6559645
708,5284864,4917678,8298862
850,5824694,6175573,10244198
1020,7984290,8474976,13770987
1224,8788611,10272405,16205673
1469,11421124,11750053,20867363
1763,14177977,14493745,24952785
2116,17471624,17952423,31210917
2539,19422491,21059781,37134531
3047,22741715,25489956,45673942
3657,30130997,33443489,58057866
4388,35517355,39139441,68264268
5266,43608023,48514750,83376835
6319,53761338,62484278,105259594
