length,sorted,reversed,random
1,64706,34826,21658
1,24903,45823,28289
1,30716,28496,27999
1,38657,19032,18495
2,87649,65532,72596
2,71395,71164,56111
2,27475,51479,34010
3,29662,32296,21536
4,38122,29355,27820
5,30261,36253,39537
6,42526,44586,51241
7,70072,72504,81386
8,69356,74227,89571
10,81006,88154,97094
12,88911,99996,114724
15,110162,123531,138893
18,140313,152638,170736
22,215099,222155,251410
26,363412,411765,429640
31,289914,292005,340006
38,332940,363445,433745
46,412946,441562,519007
55,715660,756118,910058
66,891679,910305,1103458
79,944091,1000929,1182189
95,1296108,1318212,1596434
114,1480026,1474029,1825187
137,1589014,1575934,1951107
164,1936195,1946525,2502687
197,2624299,2482965,3298063
237,3156452,3100121,4121883
284,3975767,3930308,5134535
341,4556672,4532312,5839186
410,5220682,5033696,6858256
492,6531493,6206607,8600891
590,17696212,18441118,23069801
708,35847471,37050609,46114325
850,45209897,46651150,55203421
1020,51382887,53206866,62929578
1224,62124611,64164718,77370140
1469,76265442,78391737,94596488
1763,93003280,93886081,118452793
2116,111954168,115592116,144474469
2539,42085077,40383984,62559187
3047,46108168,44495311,69192450
3657,25303997,27425041,50385303
4388,20684948,24257116,49613133
5266,24956531,28923329,59135293
6319,31337878,36909088,77605994
