length,sorted,reversed,random
1,769104,509549,39088
1,23137,30354,23688
1,15260,27235,14078
1,14760,26902,13136
2,119754,98833,65022
2,42752,63949,47429
2,38546,56366,46846
3,82868,105220,90047
4,84626,169096,84836
5,71332,90583,79186
6,122217,96281,109410
7,82261,78865,93882
8,144806,144777,164833
10,186165,191293,199620
12,196088,188296,213543
15,298226,285235,327449
18,797607,743362,848333
22,1235386,1159380,1278885
26,1457367,1377675,1519675
31,1226206,1154496,1295120
38,2135610,1959542,2175483
46,3273909,3106958,3465941
55,5707535,5386490,5949399
66,13984437,13529821,14258201
79,19554849,19322550,20372597
95,10083199,10461610,10420438
114,4020707,4586273,4288947
137,3423150,3418621,3781257
164,5337263,5215943,5297299
197,7905418,7616684,7725679
237,10825127,10860087,11027516
284,15450936,15619994,15664988
341,22169875,22362749,22271077
410,33017880,32295510,33046404
492,45592160,45315534,45972342
590,67901537,67364552,68297180
708,93733584,93016627,93228591
850,131841964,132600782,132394301
1020,194003772,195199138,194279781
1224,274740425,276267063,273841697
1469,408240610,408975525,410211692
1763,659456353,685925094,665077678
2116,973520088,915926277,975322937
2539,1286919956,1283409670,1300364548
3047,1768414256,1748050211,1785713221
3657,2497991429,2479698075,2507667383
4388,3528445140,3515022179,3554891163
5266,5140361934,5124991993,5265048295
