length,sorted,reversed,random
1,26009,19332,14368
1,16307,30572,16214
1,34851,22369,15607
1,10327,10635,9949
2,42329,38953,35019
2,34487,40412,34274
2,37897,32706,23942
3,22502,26193,18965
4,41735,32612,30506
5,42583,34141,56349
6,37882,40408,61683
7,43375,49597,54561
8,54078,61678,67832
10,71883,80642,121518
12,91805,103487,110505
15,118240,131403,144817
18,151160,163147,180864
22,187597,202607,231845
26,230973,243966,281595
31,313158,320939,385134
38,371849,419625,468206
46,494974,502051,614507
55,725393,751681,921943
66,756515,787775,945205
79,1056237,1129484,1366137
95,1127917,1186292,1430024
114,1393866,1386899,1790123
137,1701636,1697491,2182915
164,2215450,2186572,2781575
197,2610803,2532646,3369771
237,3180762,3077748,4094925
284,4271564,4073859,5404191
341,5415061,5149316,6944932
410,6043064,5723005,7922763
492,13058327,13487326,16272328
590,28442238,29963059,35783036
708,34789143,36607225,43171098
850,43512412,44703232,53572265
1020,51984960,55080078,65051404
1224,61799934,63564881,74868817
1469,83408988,82807883,96583378
1763,92816530,97125740,116561483
2116,25288290,26512104,39555748
2539,11911576,14390030,28598937
3047,14397273,17413596,35230313
3657,17492604,21724684,43822168
4388,20415534,25108675,51844825
5266,24756642,30152951,64001070
6319,31107509,37365669,80790487
